Number,Anglicized name,Arabic name,English Translation,#English Translation
61,as-Saff,as-saff,The Ranks,#The Ranks
62,al-Jumu`ah,al-jumu`ah,The Day of Congregation,#The Day of Congregation
63,al-Munafiqun,al-munafiqoon,The Hypocrites,#The Hypocrites
64,at-Taghabun,at-taghaabun,The Cheating,#The Cheating
65,"at-Talaq,",aT-Talaaq,The Divorce,#The Divorce
66,at-Tahrim,at-taHreem,The Prohibition,#The Prohibition
67,al-Mulk,al-mulk,The Kingdom,#The Kingdom
68,al-Qalam,al-qalam,The Pen,#The Pen
69,al-Haqqah,al-Haaqqah,The Inevitable,#The Inevitable
70,al-Ma`arij,al-ma`aarij,The Ladders,#The Ladders
71,Nuh,nooH,Noah,#Noah
72,al-Jinn,al-jinn,The Jinn,#The Jinn
73,al-Muzammil,al-muzammil,The Mantled One,#The Mantled One
74,al-Mudathir,al-muddaththir,The Clothed One,#The Clothed One
75,al-Qiyamah,al-qiyaamah,The Resurrection,#The Resurrection
76,al-Insane,al-insane,The Man,#The Man
77,al-Mursalat,al-mursalaat,The Emissaries,#The Emissaries
78,an-Naba',an-naba',The Tidings,#The Tidings
79,an-Nazi`at,an-naazi`aat,Those Who Pull Out,#Those Who Pull Out
,,,,#
80,`Abasa,`abasa,He Frowned,#He Frowned
81,at-Takwir,at-takweer,The Cessation,#The Cessation
82,al-Infitar,al-infiTaar,The Cleaving Asunder,#The Cleaving Asunder
83,Al-Mutaffifeen,Al-Mutaffifeen,The Defrauders,#The Defrauders
84,al-Inshiqaq,al-inshiqaaq,The Rending,#The Rending
85,al-Buruj,al-burooj,the Constellations,#the Constellations
86,at-Tariq,aT-Taariq,The Night-Comer,#The Night-Comer
87,al-A`la,al-A`laa,The Most High,#The Most High
88,al-Ghashiya,al-ghaashiyah,The Overwhelming Calamity,#The Overwhelming Calamity
89,al-Fajr,al-fajr,The Dawn,#The Dawn
90,al-Balad,al-balad,The City,#The City
91,ash-Shams,ash-shams,The Sun,#The Sun
92,al-Layl,al-lail,The Night,#The Night
93,ad-Duha,aD-DuHaa,The Early Hours,#The Early Hours
94,ash-Sharh,ash-Sharh,The Expansion,#The Expansion
95,at-Tin,aT-Teen,The Fig,#The Fig
96,al-`Alaq,al-`alaq,The Clot,#The Clot
97,al-qadr,al-qadr,The Majesty,#The Majesty
98,al-Bayyinah,al-bayyinah,The Proof,#The Proof
99,Az-Zalzala,Az-Zalzala,The Shaking,#The Shaking
100,al-`Adiyat,al-`aadiyaat,The Assaulters,#The Assaulters
101,al-Qari`ah,al-qaari`ah,The Terrible Calamity,#The Terrible Calamity
102,at-Takathur,at-takaathur,Worldly Gain,#Worldly Gain
103,al-`Asr,al-`asr,Time,#Time
104,al-Humazah,al-humazah,The Slanderer,#The Slanderer
105,al-Fil,al-feel,The Elephant,#The Elephant
106,al-Quraish,al-quraish,The Quraish,#The Quraish
107,al-Ma`un,al-maa`oon,The Daily Necessaries,#The Daily Necessaries
108,al-Kauthar,al-kauthar,Abundance,#Abundance
109,al-Kafirun,al-kaafiroon,The Unbelievers,#The Unbelievers
110,an-Nasr,an-naSr,The Help,#The Help
111,Al-Masad,Al-Masad,The Palm Fibre,#The Palm Fibre
112,al-Ikhlas,al-ikhlaaS,The Unity,#The Unity
113,al-Falaq,al-falaq,The Daybreak,#The Daybreak
114,an-Nas,an-naas,The Men,#The Men
